product_id,SKU,product_name,weight_in_grams,product_cost,manufacturer,is_active,category_id
1,P0000001,Koszulka Bawełniana ActiveWear Premium,148,29.77,ActiveWear,True,2
2,P0000002,Czapka Zimowa FashionLine Basic,81,37.03,FashionLine,True,2
3,P0000003,Encyklopedia Dziecięca MediaRead Premium,1059,75.36,MediaRead,True,4
4,P0000004,Patelnia Teﬂonowa Lumina Classic,759,53.3,Lumina,True,3
5,P0000005,Spodnie Jeans UrbanStyle Pro,633,222.55,UrbanStyle,True,2
6,P0000006,Smartwatch ApexTech Pro,88,326.08,ApexTech,True,1
7,P0000007,Szczoteczka Soniczna DermaCare V2,217,113.75,DermaCare,True,6
8,P0000008,Mata do Jogi IronFit Pro,1089,58.63,IronFit,True,5
9,P0000009,Odkurzacz Pionowy Lumina Premium,3093,916.73,Lumina,True,3
10,P0000010,Ręcznik Bawełniany CookMaster Eco,394,27.15,CookMaster,True,3
11,P0000011,Krem Nawilżający DermaCare Basic,183,64.43,DermaCare,True,6
12,P0000012,Kurtka Zimowa CottonRich V2,1222,290.57,CottonRich,False,2
13,P0000013,Puzzle 1000 el. PlayLand Ultra,535,31.28,PlayLand,True,7
14,P0000014,Auto Zdalnie Sterowane PlayLand Plus,724,249.49,PlayLand,True,7
15,P0000015,Wideorejestrator AutoDrive Pro,239,358.43,AutoDrive,False,8
16,P0000016,Czapka Zimowa UrbanStyle Lite,129,54.1,UrbanStyle,True,2
17,P0000017,Bluza z Kapturem ActiveWear Pro,550,129.56,ActiveWear,False,2
18,P0000018,Monitor ApexTech Ultra,4579,2316.52,ApexTech,True,1
19,P0000019,Powieść Kryminalna PapierowyŚwiat Ultra,388,53.37,PapierowyŚwiat,True,4
20,P0000020,Balsam do Ciała BioBeauty Pro,437,33.25,BioBeauty,True,6
21,P0000021,Książka IT BookWorld Lite,340,35.14,BookWorld,False,4
22,P0000022,Buty Sportowe DenimCo Edition 2024,986,478.74,DenimCo,True,2
23,P0000023,Plecak Turystyczny RunMaster Advanced,816,331.52,RunMaster,True,5
24,P0000024,Piłka do Piłki Nożnej SportPro Eco,433,89.66,SportPro,True,5
25,P0000025,Książka IT PapierowyŚwiat Basic,601,63.24,PapierowyŚwiat,True,4
26,P0000026,Słuchawki TechCorp Premium,74,731.9,TechCorp,True,1
27,P0000027,Kurtka Zimowa ActiveWear Edition 2024,1397,291.4,ActiveWear,True,2
28,P0000028,Uchwyt Samochodowy DriveSafe Advanced,104,20.19,DriveSafe,False,8
29,P0000029,Balsam do Ciała NaturePure Eco,421,48.62,NaturePure,True,6
30,P0000030,Myszka Bezprzewodowa VoltPower Pro,101,99.39,VoltPower,False,1
31,P0000031,Patelnia Teﬂonowa CookMaster Classic,1073,56.23,CookMaster,True,3
32,P0000032,Zestaw Kluczy Nasadowych AutoDrive Basic,4671,449.75,AutoDrive,True,8
33,P0000033,Kurtka Zimowa DenimCo Advanced,1397,430.31,DenimCo,False,2
34,P0000034,Laptop ElectroMax Basic,1899,3591.22,ElectroMax,False,1
35,P0000035,Piłka do Piłki Nożnej RunMaster Edition 2024,445,93.53,RunMaster,True,5
36,P0000036,Hantle Żeliwne FitZone Lite,8027,122.17,FitZone,True,5
37,P0000037,Smartfon ApexTech Eco,214,4201.73,ApexTech,True,1
38,P0000038,Tablet TechCorp Ultra,385,2147.09,TechCorp,True,1
39,P0000039,Klocki Konstrukcyjne SmartToys Premium,1585,228.36,SmartToys,True,7
40,P0000040,Puzzle 1000 el. SmartToys Lite,667,39.24,SmartToys,True,7
41,P0000041,Encyklopedia Dziecięca PapierowyŚwiat Premium,871,63.75,PapierowyŚwiat,True,4
42,P0000042,Prostownik Akumulatora AutoDrive Basic,1938,185.6,AutoDrive,True,8
43,P0000043,Kurtka Zimowa CottonRich Classic,1035,665.29,CottonRich,True,2
44,P0000044,Komiks Marvel PapierowyŚwiat Ultra,424,70.86,PapierowyŚwiat,True,4
45,P0000045,Tablet VoltPower Edition 2024,403,3041.22,VoltPower,True,1
46,P0000046,Mata do Jogi FitZone V2,1266,48.21,FitZone,True,5
47,P0000047,Encyklopedia Dziecięca PapierowyŚwiat Premium,870,70.32,PapierowyŚwiat,True,4
48,P0000048,Słuchawki ElectroMax Classic,62,82.55,ElectroMax,True,1
49,P0000049,Hantle Żeliwne OutdoorPeak Max,7780,102.71,OutdoorPeak,True,5
50,P0000050,Spodnie Jeans DenimCo Max,468,220.23,DenimCo,True,2
51,P0000051,Lalka Przegubowa ToyWorld Classic,386,146.87,ToyWorld,True,7
52,P0000052,Szampon Wzmacniający DermaCare Edition 2024,376,23.67,DermaCare,False,6
53,P0000053,Ręcznik Bawełniany CookMaster Ultra,411,16.12,CookMaster,True,3
54,P0000054,Puzzle 1000 el. KidsFun Classic,481,60.43,KidsFun,True,7
55,P0000055,Klocki Konstrukcyjne PlayLand Premium,808,294.98,PlayLand,False,7
56,P0000056,Perfumy 50ml DermaCare Premium,156,324.21,DermaCare,False,6
57,P0000057,Perfumy 50ml BioBeauty Classic,239,317.35,BioBeauty,False,6
58,P0000058,Krem Nawilżający BioBeauty Classic,102,97.57,BioBeauty,True,6
59,P0000059,Słuchawki ApexTech Advanced,216,604.55,ApexTech,True,1
60,P0000060,Auto Zdalnie Sterowane SmartToys Pro,894,230.91,SmartToys,True,7
61,P0000061,Mata do Jogi OutdoorPeak Basic,1232,113.67,OutdoorPeak,True,5
62,P0000062,Balsam do Ciała BioBeauty Edition 2024,435,31.87,BioBeauty,True,6
63,P0000063,Bluza z Kapturem CottonRich Classic,609,112.19,CottonRich,True,2
64,P0000064,Ręcznik Bawełniany ComfortHome Edition 2024,394,45.48,ComfortHome,True,3
65,P0000065,Piłka do Piłki Nożnej RunMaster Basic,419,71.56,RunMaster,False,5
66,P0000066,Balsam do Ciała NaturePure Eco,372,26.98,NaturePure,False,6
67,P0000067,Zestaw Garnków Lumina Max,5719,423.81,Lumina,True,3
68,P0000068,Kurtka Zimowa ActiveWear Premium,1725,283.55,ActiveWear,True,2
69,P0000069,Powerbank ElectroMax Lite,237,141.08,ElectroMax,True,1
70,P0000070,Pluszowy Miś 30cm PlayLand Premium,187,52.8,PlayLand,True,7
71,P0000071,Czapka Zimowa DenimCo Ultra,136,50.55,DenimCo,True,2
72,P0000072,Pasek Skórzany DenimCo Eco,285,128.91,DenimCo,True,2
73,P0000073,Zestaw Kluczy Nasadowych TurboClean Advanced,5402,417.4,TurboClean,False,8
74,P0000074,Zestaw Noży ComfortHome Classic,1306,261.57,ComfortHome,True,3
75,P0000075,Zestaw Kosmetyków Auto CarPro Classic,1700,48.52,CarPro,True,8
76,P0000076,Komiks Marvel PapierowyŚwiat Plus,476,29.43,PapierowyŚwiat,True,4
77,P0000077,Album Fotograficzny BookWorld V2,1238,56.42,BookWorld,False,4
78,P0000078,Szczoteczka Soniczna NaturePure Advanced,215,162.05,NaturePure,False,6
79,P0000079,Auto Zdalnie Sterowane ToyWorld Lite,889,150.63,ToyWorld,True,7
80,P0000080,Piłka do Piłki Nożnej OutdoorPeak Max,447,120.81,OutdoorPeak,True,5
81,P0000081,Uchwyt Samochodowy MotorParts Advanced,142,16.6,MotorParts,True,8
82,P0000082,Puzzle 1000 el. KidsFun Eco,465,69.13,KidsFun,True,7
83,P0000083,Auto Zdalnie Sterowane SmartToys Edition 2024,527,75.95,SmartToys,False,7
84,P0000084,Zestaw Noży CookMaster Basic,1332,150.98,CookMaster,True,3
85,P0000085,Prostownik Akumulatora MotorParts Advanced,1569,207.84,MotorParts,False,8
86,P0000086,Mata do Jogi OutdoorPeak Basic,1467,80.85,OutdoorPeak,True,5
87,P0000087,Encyklopedia Dziecięca Wydawnictwo IT Edition 2024,641,85.25,Wydawnictwo IT,True,4
88,P0000088,Książka IT BookWorld Premium,364,58.41,BookWorld,True,4
89,P0000089,Album Fotograficzny PapierowyŚwiat Plus,1143,110.59,PapierowyŚwiat,True,4
90,P0000090,Młynek do Kawy HomeTech Lite,626,189.33,HomeTech,False,3
91,P0000091,Puzzle 1000 el. KidsFun Pro,703,56.08,KidsFun,True,7
92,P0000092,Bluza z Kapturem CottonRich Pro,689,185.22,CottonRich,True,2
93,P0000093,Puzzle 1000 el. FunBlocks Pro,659,54.14,FunBlocks,True,7
94,P0000094,Pluszowy Miś 30cm ToyWorld Advanced,395,38.11,ToyWorld,False,7
95,P0000095,Patelnia Teﬂonowa CookMaster V2,1134,117.07,CookMaster,True,3
96,P0000096,Olej Silnikowy 4L DriveSafe V2,3637,131.9,DriveSafe,True,8
